序号，坐标
1,(2423,641)
2,(2357,641)
3,(2287,645)
4,(2069,643)
5,(2003,645)
6,(1935,643)
7,(1799,653)
8,(1735,649)
9,(1669,649)
10,(1599,645)
11,(1543,635)
12,(1491,611)
13,(1451,587)
14,(1409,591)
15,(1363,593)
16,(1321,589)
17,(1255,629)
18,(1209,711)
19,(1343,811)
20,(1344,895)
21,(1343,965)
22,(1229,999)
23,(1130,1000)
24,(1069,1001)
25,(991,997)
26,(925,999)
27,(859,999)
28,(783,997)
29,(609,951)
30,(430,951)
31,(455,875)
32,(526,873)
33,(856,873)
34,(920,873)
35,(990,871)
36,(1058,873)
37,(1126,871)
38,(1122,727)
39,(1060,731)
40,(990,727)
41,(894,729)
42,(522,727)
43,(460,733)
44,(462,673)
45,(522,669)
46,(890,667)
47,(962,665)
48,(1036,671)
49,(1092,563)
50,(1094,507)
51,(824,501)
52,(824,561)
53,(524,461)
54,(464,460)
55,(405,338)
56,(460,335)
57,(528,336)
58,(595,340)
59,(704,332)
60,(896,396)
61,(1120,394)
62,(1586,394)
63,(1805,389)
64,(300,520)
65,(2025,417)
66,(2214,456)
67,(2508,629)
68,(364,411)
69,(745,333)
70,(262,563)
71,(1000,455)
72,(233,891)
